Date,Open,High,Low,Close,Adj Close,Volume
2011-07-29,30.879999,30.900000,30.510000,30.690001,26.144032,2830143
2011-08-02,31.170000,31.170000,30.219999,30.219999,25.743643,2110715
2011-08-03,29.900000,29.900000,29.309999,29.500000,25.130301,2604012
2011-08-04,29.600000,30.170000,29.350000,29.420000,25.062147,2413925
2011-08-05,28.580000,28.990000,28.000000,28.389999,24.184713,3769709
2011-08-08,28.040001,28.180000,27.540001,27.719999,23.613960,3693756
2011-08-09,26.549999,27.620001,26.230000,27.459999,23.392471,3702740
2011-08-10,27.400000,28.639999,27.100000,28.610001,24.372131,4092372
2011-08-11,27.799999,28.590000,27.610001,28.350000,24.150642,3235625
2011-08-12,29.000000,29.360001,28.799999,29.170000,24.849180,3606582
2011-08-15,29.200001,29.500000,29.129999,29.330000,24.985477,2537823
2011-08-16,30.090000,30.200001,29.650000,29.860001,25.436974,3431742
2011-08-17,29.900000,29.930000,28.840000,29.070000,24.763992,2938844
2011-08-18,28.780001,28.799999,27.889999,28.200001,24.022861,3803355
2011-08-19,26.700001,27.719999,26.600000,27.270000,23.230616,3637426
2011-08-22,27.350000,28.180000,27.340000,27.840000,23.716183,2504105
2011-08-23,27.700001,28.549999,27.700001,28.549999,24.321020,2285889
2011-08-24,28.510000,28.760000,28.010000,28.240000,24.056936,1749605
2011-08-25,28.730000,29.260000,28.549999,29.000000,24.704363,2172728
2011-08-26,29.110001,29.120001,28.100000,28.260000,24.073971,3706696
2011-08-29,28.740000,29.040001,28.629999,28.879999,24.602135,1584692
2011-08-30,28.900000,28.930000,28.280001,28.440001,24.227310,1844913
2011-08-31,28.260000,28.379999,27.850000,28.120001,23.954708,3845793
2011-09-01,28.219999,28.750000,27.809999,28.000000,23.852486,2472340
2011-09-02,28.000000,28.200001,27.350000,27.650000,23.554329,2330577
2011-09-05,27.000000,27.139999,26.730000,26.809999,22.838751,2970824
2011-09-06,26.500000,26.889999,26.500000,26.790001,22.821718,2788535
2011-09-07,28.150000,28.250000,27.540001,27.840000,23.716183,4156401
2011-09-08,27.830000,27.940001,27.379999,27.680000,23.579889,2488797
2011-09-09,27.740000,27.809999,27.420000,27.510000,23.435064,1894937
2011-09-12,26.889999,27.010000,26.680000,26.700001,22.745052,1918303
2011-09-13,26.740000,27.090000,26.719999,26.889999,22.906906,2205240
2011-09-14,26.889999,26.940001,26.120001,26.270000,22.378746,2513710
2011-09-15,26.500000,26.565001,26.230000,26.559999,22.625786,3191434
2011-09-16,26.980000,27.090000,26.950001,27.049999,23.043205,4362716
2011-09-19,26.959999,26.980000,26.379999,26.450001,22.913263,4982348
2011-09-20,26.590000,27.340000,26.570000,27.200001,23.562973,3574438
2011-09-21,27.900000,28.580000,27.760000,28.469999,24.663158,4492215
2011-09-22,28.090000,28.299999,27.590000,28.000000,24.256004,2856719
2011-09-23,28.139999,28.700001,28.059999,28.450001,24.645834,2898587
2011-09-26,28.940001,29.330000,28.889999,29.020000,25.139614,2952229
2011-09-27,28.900000,29.000000,28.480000,29.000000,25.122292,2016122
2011-09-28,29.000000,29.500000,28.770000,28.809999,24.957691,2389544
2011-09-29,29.170000,30.020000,28.660000,29.870001,25.875959,4315114
2011-09-30,29.879999,29.980000,29.230000,29.680000,25.711365,4703770
2011-10-04,29.250000,29.920000,29.010000,29.400000,25.468809,2486837
2011-10-05,29.690001,29.750000,29.010000,29.340000,25.416826,2790854
2011-10-06,29.830000,30.520000,29.600000,30.280001,26.231134,2938019
2011-10-07,30.600000,31.440001,30.280001,30.639999,26.542999,2259949
2011-10-10,30.590000,31.000000,30.400000,30.549999,26.465040,1231856
2011-10-11,30.230000,30.680000,30.120001,30.410000,26.343754,1479430
2011-10-12,30.389999,30.620001,30.100000,30.320000,26.265791,1814275
2011-10-13,30.170000,30.540001,29.709999,30.330000,26.274450,2154967
2011-10-14,30.170000,30.510000,29.889999,30.299999,26.248463,764735
2011-10-17,30.639999,30.750000,30.430000,30.510000,26.430386,1261050
2011-10-18,30.190001,30.570000,30.000000,30.209999,26.170496,1359976
2011-10-19,30.340000,30.860001,30.000000,30.530001,26.447710,1359533
2011-10-20,30.129999,30.240000,29.950001,30.070000,26.049217,1673817
2011-10-21,30.030001,30.379999,29.700001,30.000000,25.988577,1414651
2011-10-24,30.150000,30.459999,30.049999,30.100000,26.075201,1788690
2011-10-25,29.700001,29.770000,28.959999,29.139999,25.243568,3004595
2011-10-26,28.879999,29.920000,28.809999,29.750000,25.772007,1775019
2011-10-27,29.410000,29.959999,29.410000,29.879999,25.884621,956905
2011-10-28,29.799999,30.010000,28.840000,29.080000,25.191591,3417243
2011-10-31,29.129999,29.340000,28.860001,28.860001,25.001013,1083309
2011-11-02,28.520000,28.809999,28.100000,28.670000,24.836414,1976940
2011-11-03,28.879999,29.049999,28.350000,28.799999,24.949030,1609659
2011-11-04,29.450001,29.549999,29.080000,29.330000,25.408165,2003395
2011-11-07,29.680000,29.889999,29.520000,29.799999,25.815317,1620948
2011-11-08,29.950001,30.219999,29.840000,30.049999,26.031889,1421050
2011-11-09,30.250000,30.469999,30.010000,30.200001,26.161837,1433349
2011-11-10,29.850000,30.420000,29.730000,30.400000,26.335087,1719368
2011-11-11,30.480000,30.840000,30.360001,30.840000,26.716253,1161282
2011-11-14,31.150000,31.430000,30.950001,30.950001,26.811544,2294037
2011-11-15,31.090000,31.450001,31.020000,31.290001,27.106087,2139035
2011-11-16,31.330000,31.639999,31.290001,31.549999,27.331320,1914536
2011-11-17,31.549999,31.820000,31.469999,31.500000,27.288004,2453295
2011-11-18,31.070000,31.280001,30.680000,30.750000,26.638288,1836235
2011-11-21,30.650000,31.030001,30.650000,30.930000,26.794222,1433581
2011-11-22,30.459999,31.180000,30.459999,31.059999,26.906841,1733687
2011-11-23,30.900000,30.990000,30.570000,30.719999,26.612303,1328099
2011-11-24,30.540001,30.850000,30.360001,30.490000,26.413059,3024298
2011-11-25,30.400000,30.480000,29.820000,30.110001,26.083868,2077521
2011-11-28,30.200001,30.650000,30.200001,30.320000,26.265791,1148546
2011-11-29,30.100000,30.860001,30.010000,30.860001,26.733580,1983026
2011-11-30,30.700001,31.290001,30.379999,31.190001,27.019463,1874702
2011-12-01,31.850000,31.959999,31.200001,31.670000,27.435274,1696001
2011-12-02,31.850000,32.299999,31.750000,32.299999,27.981033,1610501
2011-12-05,32.459999,32.590000,32.160000,32.250000,27.937723,2219121
2011-12-06,32.450001,32.740002,31.809999,31.959999,27.686497,2055215
2011-12-07,32.349998,32.439999,32.049999,32.439999,28.102316,1835578
2011-12-08,32.439999,32.540001,32.119999,32.389999,28.058998,1851119
2011-12-09,32.220001,32.349998,31.920000,32.090000,27.799116,1320321
2011-12-12,32.310001,32.630001,32.270000,32.450001,28.110971,1389818
2011-12-13,32.160000,32.200001,31.680000,31.830000,27.573879,1555341
2011-12-14,31.959999,32.290001,31.830000,32.150002,27.851093,1509882
2011-12-15,32.139999,32.380001,31.799999,32.029999,27.747135,3141342
2011-12-16,32.250000,32.459999,32.000000,32.400002,28.067663,1688868
2011-12-19,32.139999,32.220001,31.809999,31.900000,27.634520,1643920
2011-12-20,31.900000,32.090000,31.820000,32.000000,27.721148,1972005
2011-12-21,32.230000,32.500000,32.189999,32.500000,28.154293,1310358
2011-12-22,32.540001,32.680000,32.110001,32.180000,27.877077,1718789
2011-12-23,32.139999,32.320000,31.910000,32.320000,27.998358,2139253
2011-12-28,32.380001,32.799999,32.189999,32.610001,28.249582,1007566
2011-12-29,32.599998,32.599998,32.009998,32.349998,28.024347,708863
2011-12-30,32.290001,32.340000,31.950001,32.000000,27.721148,624068
2012-01-03,32.000000,32.240002,31.639999,32.040001,27.755802,908215
2012-01-04,32.209999,32.540001,31.889999,32.150002,27.851093,1365314
2012-01-05,31.680000,31.959999,31.600000,31.959999,27.686497,998891
2012-01-06,31.969999,32.250000,31.719999,31.719999,27.478588,1315490
2012-01-09,31.870001,32.099998,31.520000,31.680000,27.443935,1024510
2012-01-10,31.900000,32.150002,31.559999,32.049999,27.764463,1400498
2012-01-11,31.910000,32.070000,31.709999,31.920000,27.651842,1315365
2012-01-12,32.080002,32.099998,31.570000,31.799999,27.547892,1547105
2012-01-13,31.990000,32.000000,31.629999,31.870001,27.608528,981052
2012-01-16,31.820000,31.850000,31.410000,31.490000,27.279343,1076168
2012-01-17,31.430000,31.590000,31.250000,31.320000,27.132071,1793786
2012-01-18,31.299999,31.490000,31.150000,31.200001,27.028122,1354630
2012-01-19,31.440001,31.700001,31.299999,31.370001,27.175386,2299652
2012-01-20,31.530001,31.620001,31.370001,31.500000,27.288004,1822579
2012-01-23,31.469999,31.469999,30.990000,31.250000,27.071436,1524282
2012-01-24,31.090000,31.270000,30.440001,30.559999,26.473698,2570337
2012-01-25,30.650000,30.959999,30.549999,30.959999,26.820211,3519247
2012-01-27,31.100000,31.340000,30.750000,30.870001,26.742247,1666788
2012-01-30,30.900000,30.900000,30.559999,30.770000,26.655622,1635394
2012-01-31,31.090000,31.270000,30.900000,31.129999,26.967476,2506666
2012-02-01,31.200001,31.450001,31.000000,31.350000,27.158064,1983536
